1703 0003 6B03 5024 40A7 0E00,1537566636259766,2.788659726772281,-60.0,0.0,1
1001,1537566636271808,6.237048537939202,-64.0,0.0,1
1703 0003 6B03 5024 40A7 0E00,1537566636278813,2.8254752656815363,-61.0,0.0,1
1703 0003 8B03 5024 6CA9 0E00,1537566636298437,5.709359146906542,-62.5,0.0,2
1703 0003 0B03 5024 B0A8 0E00,1537566636304819,0.5551836996107875,-62.0,0.0,2
1703 0003 4B03 5024 48A7 0E00,1537566636327820,3.107727730652494,-65.0,0.0,2
1703 0003 6B03 5024 6CA9 0E00,1537566636332701,0.5367759301561597,-65.5,0.0,2
1703 0003 4B03 5024 6CA9 0E00,1537566636339015,4.856465828842126,-65.5,0.0,2
1703 0003 8B03 5024 6CA9 0E00,1537566636344239,5.635728069088031,-62.5,0.0,2
1002,1537566636348659,3.9422132792622833,-64.5,0.0,2
1703 0003 0B03 5024 B0A8 0E00,1537566636354105,0.6226788542777557,-62.0,0.0,2
1001,1537566636390426,0.1256690790028081,-64.5,0.0,1
1703 0003 6B03 5024 40A7 0E00,1537566636395843,2.819339342529994,-61.0,0.0,1
1703 0003 6B03 5024 40A7 0E00,1537566636407838,2.6966208794991426,-61.0,0.0,1
1001,1537566636413782,6.267728153696915,-63.0,0.0,1
1703 0003 4B03 5024 6CA9 0E00,1537566636431692,4.813514366781328,-65.0,0.0,2
1703 0003 0B03 5024 B0A8 0E00,1537566636437729,0.4631448523376491,-63.0,0.0,2
1002,1537566636442906,3.86244627829223,-63.5,0.0,2
1703 0003 4B03 5024 48A7 0E00,1537566636447403,3.0340966528339837,-65.5,0.0,2
1703 0003 8B03 5024 6CA9 0E00,1537566636452688,5.580504760724148,-62.5,0.0,2
1703 0003 6B03 5024 6CA9 0E00,1537566636464206,0.36497008191296754,-65.0,0.0,2
1703 0003 6B03 5024 6CA9 0E00,1537566636487771,0.37110600506451075,-65.5,0.0,2
1703 0003 8B03 5024 6CA9 0E00,1537566636495099,5.500737759754094,-62.0,0.0,2
1002,1537566636499644,3.702912276352123,-64.0,0.0,2
1703 0003 4B03 5024 48A7 0E00,1537566636505219,2.886834497196962,-64.5,0.0,2
1703 0003 0B03 5024 B0A8 0E00,1537566636509839,0.3833778513675954,-62.5,0.0,2
1703 0003 4B03 5024 6CA9 0E00,1537566636514481,4.739883288962816,-65.0,0.0,2
1001,1537566636548000,0.0888535400935524,-63.5,0.0,1
1703 0003 6B03 5024 40A7 0E00,1537566636554118,2.886834497196962,-61.0,0.0,1
1001,1537566636570084,0.15021277160897828,-64.0,0.0,1
1703 0003 6B03 5024 40A7 0E00,1537566636574881,2.6352616479837168,-62.0,0.0,1
1703 0003 6B03 5024 6CA9 0E00,1537566636598224,0.3895137745191386,-64.5,0.0,2
1703 0003 0B03 5024 B0A8 0E00,1537566636602926,0.27906715779137237,-62.0,0.0,2
1002,1537566636608653,3.764271507867549,-63.5,0.0,2
1703 0003 8B03 5024 6CA9 0E00,1537566636613053,5.457786297693296,-63.0,0.0,2
1703 0003 4B03 5024 48A7 0E00,1537566636617562,2.770251957317653,-64.5,0.0,2
1002,1537566636639004,3.715184122655208,-64.0,0.0,2
1703 0003 8B03 5024 6CA9 0E00,1537566636644567,5.304388218904732,-62.5,0.0,2
1703 0003 4B03 5024 48A7 0E00,1537566636649993,2.6966208794991426,-65.5,0.0,2
1703 0003 0B03 5024 B0A8 0E00,1537566636654595,0.21770792627594648,-62.0,0.0,2
1703 0003 6B03 5024 6CA9 0E00,1537566636659926,0.3526982356098829,-65.5,0.0,2
1703 0003 6B03 5024 40A7 0E00,1537566636694313,2.42664026083127,-62.5,0.0,1
1001,1537566636699315,0.1195331558512649,-64.0,0.0,1
1001,1537566636715975,0.26679531148828683,-63.0,0.0,1
1703 0003 6B03 5024 40A7 0E00,1537566636720557,2.365281029315844,-63.0,0.0,1
1703 0003 0B03 5024 B0A8 0E00,1537566636741179,0.21157200312440416,-62.0,0.0,2
1703 0003 4B03 5024 48A7 0E00,1537566636748043,2.757980111014568,-65.0,0.0,2
1703 0003 8B03 5024 6CA9 0E00,1537566636753899,5.249164910540849,-63.0,0.0,2
1703 0003 6B03 5024 6CA9 0E00,1537566636759878,0.07044577063892454,-66.0,0.0,2
1002,1537566636764732,3.5004268123512183,-62.5,0.0,2
