1001,1536652830095666,6.06524268969601,-59.0,0.0,1
1002,1536652830099895,3.9483492024138256,-53.5,0.0,1
1002,1536652830110670,4.040388049686964,-53.5,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830115432,2.3714169524673867,-51.0,0.0,1
1001,1536652830122509,6.0529708433929255,-59.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830144251,2.5248150312559505,-56.0,0.0,2
1703 0003 6B03 5024 14A8 0E00,1536652830159465,0.628814777429298,-66.0,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830164492,2.5677664933167486,-56.5,0.0,2
1703 0003 6B03 5024 40A7 0E00,1536652830169059,0.021358385426584192,-62.0,0.0,2
1002,1536652830210433,3.9483492024138256,-53.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830214853,2.2241547968303648,-50.0,0.0,1
1001,1536652830220004,6.145009690666064,-58.5,0.0,1
1002,1536652830235346,4.021980280232336,-53.0,0.0,1
1001,1536652830240706,6.046834920241383,-58.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830245662,2.1198441032541417,-50.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830276539,2.334601413558131,-57.0,0.0,2
1703 0003 6B03 5024 40A7 0E00,1536652830281295,6.151145613817606,-62.0,0.0,2
1703 0003 6B03 5024 40A7 0E00,1536652830296374,6.132737844362978,-62.5,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830301538,2.334601413558131,-57.5,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830338687,1.8805431003439814,-49.5,0.0,1
1002,1536652830349113,4.07720358859622,-53.0,0.0,1
1001,1536652830355493,5.838213533088935,-58.5,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830366458,1.8253197919800979,-49.5,0.0,1
1001,1536652830370851,6.0529708433929255,-58.5,0.0,1
1002,1536652830376641,4.120155050657018,-53.0,0.0,1
1002,1536652830395478,3.4145238882296227,-60.0,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830400323,2.2364266431334503,-61.0,0.0,2
1703 0003 6B03 5024 40A7 0E00,1536652830405628,5.727766916361169,-62.5,0.0,2
1703 0003 4B03 5024 48A7 0E00,1536652830413809,3.9974365876261664,-63.5,0.0,2
1703 0003 4B03 5024 48A7 0E00,1536652830425589,4.107883204353932,-64.5,0.0,2
1002,1536652830431527,3.3286209641080267,-60.0,0.0,2
1703 0003 6B03 5024 40A7 0E00,1536652830436901,5.703223223754999,-62.5,0.0,2
1001,1536652830478958,5.875029071998191,-57.5,0.0,1
1002,1536652830484475,4.212193897930156,-53.0,0.0,1
1001,1536652830496407,5.629592145936488,-58.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830502969,1.4571644028875443,-51.0,0.0,1
1002,1536652830507426,4.236737590536326,-53.5,0.0,1
1703 0003 4B03 5024 48A7 0E00,1536652830536640,3.733591892109836,-63.5,0.0,2
1002,1536652830541401,3.518834581805846,-58.0,0.0,2
1703 0003 6B03 5024 40A7 0E00,1536652830545826,5.641863992239573,-64.0,0.0,2
1703 0003 6B03 5024 40A7 0E00,1536652830555627,5.433242605087126,-63.0,0.0,2
1002,1536652830563482,3.5249705049573885,-58.0,0.0,2
1703 0003 4B03 5024 48A7 0E00,1536652830568260,3.5924656596243567,-63.5,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830603764,1.0767371674919053,-53.5,0.0,1
1001,1536652830608228,5.3718833735717,-58.0,0.0,1
1002,1536652830614078,4.36559197671872,-54.5,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830633511,0.9049313192487132,-53.5,0.0,1
1002,1536652830638331,4.457630823991859,-55.0,0.0,1
1001,1536652830642416,5.335067834662445,-58.0,0.0,1
1002,1536652830660959,3.758135584716006,-57.0,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830665367,3.7090481995036657,-58.5,0.0,2
1002,1536652830683961,3.831766662534517,-57.0,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830690508,3.518834581805846,-57.0,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830727288,0.3220186198521695,-56.5,0.0,1
1001,1536652830733347,5.359611527268616,-58.0,0.0,1
1002,1536652830738073,4.7951065973267,-56.5,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830751753,0.09498946324509472,-57.5,0.0,1
1002,1536652830756082,4.7276114426597315,-56.0,0.0,1
1001,1536652830761044,5.114174601206913,-58.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830786464,2.9604655750154727,-55.0,0.0,2
1002,1536652830790906,3.985164741323081,-56.5,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830799157,2.9666014981670155,-54.5,0.0,2
1002,1536652830805359,3.9974365876261664,-57.0,0.0,2
1002,1536652830842132,4.930096906660636,-57.0,0.0,1
1001,1536652830848626,5.144854216964626,-57.5,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830853855,5.519145529208722,-60.0,0.0,1
1002,1536652830863993,5.089630908600743,-57.0,0.0,1
1001,1536652830871344,5.00986390763069,-58.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830875707,5.408698912480956,-60.5,0.0,1
1002,1536652830896643,4.15083466641473,-57.0,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830904397,2.733436418408398,-53.0,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652830918928,2.678213110044515,-53.0,0.0,2
1002,1536652830924019,4.212193897930156,-56.5,0.0,2
1001,1536652830958583,4.930096906660636,-56.5,0.0,1
1002,1536652830965020,5.144854216964626,-57.5,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830970135,4.518990055507285,-60.5,0.0,1
1002,1536652830980473,5.2307571410862215,-57.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652830986623,4.592621133325795,-59.5,0.0,1
1001,1536652830991160,5.0221357539337745,-57.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652831013586,2.5432228007105784,-52.5,0.0,2
1002,1536652831018609,4.36559197671872,-57.0,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652831045455,2.4143684145281843,-52.5,0.0,2
1002,1536652831049839,4.353320130415635,-57.0,0.0,2
1001,1536652831087246,5.040543523388402,-57.0,0.0,1
1002,1536652831093835,5.476194067147924,-58.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652831099444,3.5986015827758995,-58.5,0.0,1
1001,1536652831109991,5.00986390763069,-57.0,0.0,1
1002,1536652831115355,5.58664068387569,-58.5,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652831121537,3.3163491178049416,-58.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652831144002,2.18733925792111,-51.5,0.0,2
1002,1536652831148472,4.647844441689678,-57.5,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652831163992,2.1321159495572264,-52.0,0.0,2
1002,1536652831170077,4.666252211144306,-57.5,0.0,2
E200 0017 1510 0023 1520 7DAB,1536652831206685,2.770251957317653,-55.0,0.0,1
1002,1536652831213293,6.089786382302181,-58.0,0.0,1
1001,1536652831217841,5.175533832722339,-57.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652831242914,2.5309509544074933,-54.0,0.0,1
1001,1536652831247493,5.200077525328509,-56.0,0.0,1
E200 0017 1510 0023 1520 7DAB,1536652831262788,1.8253197919800979,-52.0,0.0,2
